Date,Open,High,Low,Close,Adj Close,Volume
2012-09-21,81.477867,82.335526,80.334312,81.763756,56.459919,20559751
2012-09-28,81.835220,83.264664,80.191376,82.835831,57.200211,19785316
2012-10-05,82.335526,83.193192,80.763145,81.263451,56.114449,22961171
2012-10-12,81.549339,82.978775,80.477257,81.692284,56.410561,23072991
2012-10-19,81.835220,85.909119,80.620201,85.337341,58.927567,32323118
2012-10-26,84.622627,84.979980,79.476654,82.192581,56.756035,35632621
2012-11-02,82.192581,83.479073,81.120506,81.120506,56.015743,26805953
2012-11-09,80.405785,81.835220,80.048431,80.477257,55.571556,20222879
2012-11-16,80.334312,83.407600,79.905487,83.050247,57.348286,22158771
2012-11-23,83.050247,84.979980,82.621414,84.622627,58.434052,27312064
2012-11-30,84.979980,85.623230,82.835831,84.765572,58.532761,28247150
2012-12-07,84.694099,87.481499,84.336739,85.694702,59.174335,26875922
2012-12-14,85.337341,86.623833,84.479683,85.694702,59.174335,19668383
2012-12-21,84.622627,85.909119,83.336128,84.837044,58.582115,13357022
2012-12-28,84.837044,87.124138,84.336739,86.052063,59.421097,17370907
2013-01-04,86.623833,90.912148,85.837646,90.840675,62.727764,30900569
2013-01-11,90.411842,94.843094,89.697121,93.913963,64.849937,35504674
2013-01-18,93.699547,94.199844,90.769203,92.913353,64.159012,25607273
2013-01-25,92.127167,92.913353,90.840675,90.912148,62.777100,20624629
2013-02-01,91.126556,91.698334,86.695305,88.196213,60.901691,31006885
2013-02-08,88.196213,89.339767,87.910332,88.982407,61.444584,11336356
2013-02-15,88.124741,89.196823,84.551155,85.265869,58.878220,29587839
2013-02-22,84.694099,86.552361,83.121719,86.195007,59.519814,31220668
2013-03-01,86.123535,86.123535,82.549942,84.050850,58.039219,24345428
2013-03-08,84.908508,86.266479,80.405785,82.692886,57.101517,32503546
2013-03-15,82.907303,82.978775,78.618996,79.762543,55.078030,41278929
2013-03-22,79.190765,82.335526,78.690460,81.906693,56.558624,33307460
2013-03-29,81.906693,83.407600,80.977562,81.906693,56.558624,10605710
2013-04-05,80.906090,82.764359,79.190765,81.835220,56.509270,32426877
2013-04-12,81.906693,84.265266,80.691673,81.620811,56.361217,23022088
2013-04-19,82.049637,84.837044,81.620811,83.836433,57.891159,22890751
2013-04-26,83.836433,84.408211,82.549942,83.050247,57.348286,17307485
2013-05-03,82.621414,85.122925,82.335526,84.551155,58.384678,26365562
2013-05-10,83.979378,85.051453,82.192581,82.764359,57.150867,35449630
2013-05-17,82.764359,85.766174,82.692886,82.764359,57.150867,25615368
2013-05-24,82.049637,82.049637,77.975746,78.618996,54.288383,39829915
2013-05-31,79.619598,79.619598,75.045403,75.617172,53.929268,50474345
2013-06-07,75.688644,75.688644,71.471809,73.758911,52.603970,35560672
2013-06-14,74.830986,78.404579,72.901245,72.972717,52.043262,54526658
2013-06-21,70.042374,74.616570,70.042374,74.044800,52.807861,56448728
2013-06-28,75.545708,76.689255,72.972717,73.973328,52.756893,20806836
2013-07-05,74.116264,78.118690,72.472420,76.975143,54.897747,30859569
2013-07-12,76.975143,77.332497,75.045403,76.546310,54.591908,18106837
2013-07-19,77.189552,79.691071,75.545708,78.618996,56.070129,19012677
2013-07-26,78.047218,79.976959,77.761330,79.762543,56.885685,19964121
2013-08-02,80.405785,82.549942,79.190765,79.905487,56.987633,25535763
2013-08-09,80.763145,83.622017,80.119904,81.835220,58.363903,26606839
2013-08-16,82.192581,82.764359,77.189552,77.975746,55.611370,21792939
2013-08-23,78.333107,78.904877,75.688644,77.904274,55.560390,23948941
2013-08-30,79.262238,81.549339,77.904274,80.763145,57.599308,29615492
2013-09-06,80.906090,82.478470,80.548729,81.978165,58.888378,20341872
2013-09-13,82.406998,87.838860,80.691673,87.767387,63.047012,47987272
2013-09-20,87.767387,87.910332,84.622627,85.766174,61.609463,20384009
2013-09-27,86.766777,89.625648,84.193794,89.339767,64.176529,28656364
2013-10-04,88.339157,89.911537,85.909119,87.481499,62.841663,25853258
2013-10-11,89.339767,89.411240,86.337952,88.053268,63.252384,16417253
2013-10-18,88.625046,88.910934,85.837646,86.337952,62.020187,21421471
2013-10-25,85.766174,88.196213,84.551155,86.623833,62.225552,21701543
2013-11-01,87.838860,89.339767,85.694702,85.980591,61.763489,20341872
2013-11-08,86.480888,87.124138,84.979980,85.551758,61.455429,23701395
2013-11-15,86.123535,89.053879,86.123535,86.838249,62.379589,28335790
2013-11-22,87.910332,90.054482,87.124138,88.410629,63.509068,24438440
2013-11-29,88.410629,89.053879,87.267082,87.981796,63.201035,18587502
2013-12-06,88.553574,88.625046,85.408813,86.695305,62.276897,19228923
2013-12-13,85.694702,87.838860,84.336739,85.194397,61.198734,27263262
2013-12-20,85.694702,87.195610,85.408813,86.766777,62.328247,7547920
2013-12-27,86.195007,87.910332,86.195007,87.767387,63.047012,8112330
2014-01-03,86.909721,87.767387,85.480286,85.837646,61.660809,22897094
2014-01-10,86.123535,87.052666,85.122925,85.766174,61.609463,22759559
2014-01-17,86.123535,87.195610,84.479683,84.551155,60.736664,21745111
2014-01-24,84.408211,85.194397,81.191978,82.121109,58.991051,21534880
2014-01-31,82.121109,82.835831,80.262840,81.049034,58.220947,17147187
2014-02-07,80.834618,84.622627,79.905487,83.907906,60.274582,25547089
2014-02-14,85.408813,85.408813,82.907303,82.978775,59.607159,21026888
2014-02-21,83.979378,86.480888,83.764961,86.123535,61.866169,25629396
2014-02-28,86.981194,89.911537,84.765572,89.768593,64.484581,34347111
2014-03-07,90.268898,90.769203,87.338554,87.481499,62.841663,24854870
2014-03-14,86.623833,87.767387,85.909119,86.195007,61.917515,18357214
2014-03-21,87.338554,91.984222,86.266479,91.555389,65.768112,41309333
2014-03-28,92.127167,98.631104,90.840675,96.772835,69.516022,37768072
2014-04-04,96.701363,97.559021,94.771622,96.629890,69.413330,27873829
2014-04-11,96.415474,97.987854,96.201057,97.844910,70.286118,23147135
2014-04-18,97.844910,98.202271,96.629890,97.416077,69.978073,11812910
2014-04-25,97.273132,97.630493,94.199844,94.342789,67.770416,16530048
2014-05-02,93.628075,95.915169,88.053268,89.411240,64.227867,23383291
2014-05-09,89.983009,96.344002,88.982407,95.772224,74.230881,28555975
2014-05-16,95.772224,97.130196,94.485733,96.201057,74.563248,22088065
2014-05-23,96.415474,98.273743,94.199844,97.916382,78.233749,25272412
2014-05-30,98.273743,101.132614,97.987854,98.774040,78.919022,22790057
2014-06-06,98.845512,99.274345,95.915169,96.272530,76.920334,20028934
2014-06-13,96.415474,98.631104,95.486343,98.488159,78.690605,19623479
2014-06-20,98.559631,98.631104,95.414871,97.987854,78.290855,20057632
2014-06-27,97.630493,102.204689,97.273132,101.632919,81.203224,19043491
2014-07-04,101.632919,102.133217,98.845512,101.489975,81.088997,16296456
2014-07-11,101.561447,101.847328,99.059929,99.488762,79.490067,16594224
2014-07-18,98.488159,100.846725,98.130798,100.274956,80.118217,24012731
2014-07-25,99.917595,108.637154,99.917595,107.708023,86.057121,33474018
2014-08-01,106.492996,106.850357,101.132614,102.276161,81.717148,39732660
2014-08-08,101.275558,104.348846,99.846123,103.062355,82.345314,23861604
2014-08-15,104.205902,106.778885,101.704391,104.992088,83.887131,21998779
2014-08-22,106.350060,106.350060,102.204689,102.490578,81.888474,19379839
2014-08-29,101.561447,104.205902,100.203484,102.490578,81.888474,30404042
2014-09-05,101.847328,102.204689,98.916985,99.774651,80.225304,20179850
2014-09-12,100.274956,100.346420,96.915779,97.058723,78.041519,16807028
2014-09-19,97.201668,98.273743,95.200455,96.915779,77.926590,20463179
2014-09-26,95.986641,96.844307,89.339767,91.412445,73.501549,24432905
2014-10-03,90.054482,95.057510,89.339767,94.628677,76.087601,32163176
2014-10-10,93.771019,95.200455,92.198639,92.413055,74.306091,20348583
2014-10-17,94.199844,96.129585,92.198639,95.486343,76.777214,30537070
2014-10-24,95.271927,98.059326,94.199844,97.701965,78.558731,19948749
2014-10-31,98.488159,99.059929,95.486343,96.272530,77.409370,22538270
2014-11-07,96.272530,100.417892,95.843697,99.345818,79.880501,20822562
2014-11-14,100.489365,101.632919,98.059326,98.488159,79.190887,15300956
2014-11-21,97.987854,103.634125,97.844910,102.419106,82.351624,25871293
2014-11-28,103.276772,103.276772,97.273132,98.202271,78.961021,28610505
2014-12-05,99.202873,100.417892,94.414261,94.914566,76.317490,24852381
2014-12-12,95.772224,95.772224,89.625648,91.269501,73.386612,32619057
2014-12-19,93.628075,93.985435,92.055695,92.913353,74.708374,12016547
2014-12-26,92.913353,94.914566,92.770409,93.127769,74.880775,7288185
2015-01-02,93.628075,94.557205,89.411240,89.768593,72.179787,33047405
